Id, name, class, variant, type, subtype, pv, size, move, armor, structure, damageS, damageSMin, damageM, damageMMin, damageL, damageLMin, damageE, damageEMin, overheat, abilities, imagelink, rulesLevel, tonnage, intro, role, technology, threshold
5553,"=hyperlink(""http://masterunitlist.info/Unit/Details/5553"", ""Celerity CLR-02-X-D"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-02-X-D,BattleMech,BM,15,1,40,1,1,0,false,0,false,0,false,0,false,0,"C3I, DRO, ENE, MHQ2",https://i.ibb.co/njtxHmW/celerity-3145.png,Experimental,15,3052,Scout,Inner Sphere,0
6671,"=hyperlink(""http://masterunitlist.info/Unit/Details/6671"", ""Celerity CLR-03-O"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-O,BattleMech,BM,15,1,40,1,1,0,false,0,false,0,false,0,false,0,"C3S, DRO, ENE, MHQ1, OMNI, TAG",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Inner Sphere,0
6704,"=hyperlink(""http://masterunitlist.info/Unit/Details/6704"", ""Celerity CLR-03-OA"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OA,BattleMech,BM,16,1,40,1,1,0,true,0,true,0,false,0,false,0,"DRO, ENE, OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Mixed,0
6705,"=hyperlink(""http://masterunitlist.info/Unit/Details/6705"", ""Celerity CLR-03-OB"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OB,BattleMech,BM,16,1,40,1,1,0,false,0,false,0,false,0,false,0,"AECM, DRO, ENE, OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Inner Sphere,0
6706,"=hyperlink(""http://masterunitlist.info/Unit/Details/6706"", ""Celerity CLR-03-OC"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OC,BattleMech,BM,16,1,40,1,1,0,false,0,false,0,false,0,false,0,"DRO, ENE, OMNI, PRB, RCN, RSD1",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Inner Sphere,0
6707,"=hyperlink(""http://masterunitlist.info/Unit/Details/6707"", ""Celerity CLR-03-OD"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OD,BattleMech,BM,16,1,40,1,1,0,true,0,true,0,false,0,false,0,"DRO, ENE, OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Inner Sphere,0
6708,"=hyperlink(""http://masterunitlist.info/Unit/Details/6708"", ""Celerity CLR-03-OE"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OE,BattleMech,BM,27,1,40,1,1,2,false,2,false,0,false,0,false,0,"DRO, OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3138,Scout,Mixed,0
8366,"=hyperlink(""http://masterunitlist.info/Unit/Details/8366"", ""Celerity CLR-03-OMM Rajah"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-03-OMM "Rajah",BattleMech,BM,14,1,16,1,1,1,false,1,false,0,false,0,false,0,"DRO, ENE, MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,3142,Scout,Mixed,0
6709,"=hyperlink(""http://masterunitlist.info/Unit/Details/6709"", ""Celerity CLR-04-R"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-04-R,BattleMech,BM,11,1,30,1,1,0,false,0,false,0,false,0,false,0,"DRO, TSEMP-O1",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,0,Scout,Inner Sphere,0
6710,"=hyperlink(""http://masterunitlist.info/Unit/Details/6710"", ""Celerity CLR-05-X"")","=hyperlink(""https://www.sarna.net/wiki/Celerity"", ""Celerity"")",CLR-05-X,BattleMech,BM,14,1,48,1,1,0,false,0,false,0,false,0,false,0,"DRO, ENE, IRA, MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Advanced,15,0,Scout,Inner Sphere,0
5769,"=hyperlink(""http://masterunitlist.info/Unit/Details/5769"", ""Flea FLE-14"")","=hyperlink(""https://www.sarna.net/wiki/Flea"", ""Flea"")",FLE-14,BattleMech,BM,14,1,18/8j,1,1,1,false,1,false,0,false,0,false,0,"ENE, JMPW2",https://i.ibb.co/c6JXCzJ/flea-xtr.png,Experimental,15,2519,Scout,Inner Sphere,0
6331,"=hyperlink(""http://masterunitlist.info/Unit/Details/6331"", ""Prey Seeker PY-SR10"")","=hyperlink(""https://www.sarna.net/wiki/Prey_Seeker"", ""Prey Seeker"")",PY-SR10,BattleMech,BM,26,1,24,2,1,2,false,2,false,0,false,0,false,0,"ENE, REL",https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Advanced,15,3136,Striker,Inner Sphere,0
8068,"=hyperlink(""http://masterunitlist.info/Unit/Details/8068"", ""Prey Seeker PY-SR20"")","=hyperlink(""https://www.sarna.net/wiki/Prey_Seeker"", ""Prey Seeker"")",PY-SR20,BattleMech,BM,27,1,24,2,1,2,false,2,false,0,false,0,false,1,"ENE",https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Advanced,15,3140,Striker,Inner Sphere,0
8069,"=hyperlink(""http://masterunitlist.info/Unit/Details/8069"", ""Prey Seeker PY-SR30"")","=hyperlink(""https://www.sarna.net/wiki/Prey_Seeker"", ""Prey Seeker"")",PY-SR30,BattleMech,BM,17,1,24,2,1,1,false,0,true,0,false,0,false,0,"-",https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Advanced,15,3141,Scout,Inner Sphere,0
7292,"=hyperlink(""http://masterunitlist.info/Unit/Details/7292"", ""Roadrunner (Emerald Harrier) RD-1R"")","=hyperlink(""https://www.sarna.net/wiki/Roadrunner_(Emerald_Harrier)"", ""Roadrunner (Emerald Harrier)"")",RD-1R,BattleMech,BM,22,1,28,1,1,2,false,2,false,0,false,0,false,0,"ENE",https://i.ibb.co/V2FSLgK/roadrunner-emerald-harrier-3150.jpg,Experimental,15,2920,Scout,Clan,0
189,"=hyperlink(""http://masterunitlist.info/Unit/Details/189"", ""Baboon (Howler)"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",,BattleMech,BM,20,1,14,2,2,1,false,1,false,1,false,0,false,0,"CASE, IF1",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Standard,20,2871,Missile Boat,Clan,0
190,"=hyperlink(""http://masterunitlist.info/Unit/Details/190"", ""Baboon (Howler) 2"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",2,BattleMech,BM,24,1,16,2,1,3,false,2,false,1,false,0,false,0,"CASE",https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Standard,20,3063,Striker,Clan,0
191,"=hyperlink(""http://masterunitlist.info/Unit/Details/191"", ""Baboon (Howler) 3 Devil"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",3 "Devil",BattleMech,BM,24,1,16,2,1,2,false,2,false,2,false,0,false,0,"ENE",https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Standard,20,3066,Striker,Clan,0
7568,"=hyperlink(""http://masterunitlist.info/Unit/Details/7568"", ""Baboon (Howler) 4"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",4,BattleMech,BM,17,1,14/14j,2,2,0,true,0,true,0,true,0,false,0,"CASE, IF0*",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Standard,20,2877,Scout,Clan,0
7569,"=hyperlink(""http://masterunitlist.info/Unit/Details/7569"", ""Baboon (Howler) 5"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",5,BattleMech,BM,29,1,14,2,2,3,false,3,false,0,false,0,false,2,"ENE",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Standard,20,3053,Striker,Clan,0
7570,"=hyperlink(""http://masterunitlist.info/Unit/Details/7570"", ""Baboon (Howler) 6"")","=hyperlink(""https://www.sarna.net/wiki/Baboon_(Howler)"", ""Baboon (Howler)"")",6,BattleMech,BM,23,1,14,2,2,2,false,2,false,0,false,0,false,0,"CASEII, SRM2/2, TUR(2/2/-, SRM2/2)",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Advanced,20,3086,Striker,Clan,0
7739,"=hyperlink(""http://masterunitlist.info/Unit/Details/7739"", ""Butcherbird (Ion Sparrow) A"")","=hyperlink(""https://www.sarna.net/wiki/Butcherbird_(Ion_Sparrow)"", ""Butcherbird (Ion Sparrow)"")",A,BattleMech,BM,21,1,16/20j,2,1,2,false,0,false,0,false,0,false,0,"CASE, JMPS1, OMNI, PRB, RCN",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Advanced,20,3147,Scout,Clan,0
