Id, name, class, variant, type, subtype, pv, size, move, armor, structure, damageS, damageSMin, damageM, damageMMin, damageL, damageLMin, damageE, damageEMin, overheat, abilities, imagelink, rulesLevel, tonnage, intro, role, technology, threshold
1530,"=hyperlink(""http://masterunitlist.info/Unit/Details/1530"", ""Hi-Scout Drone (NapFind)"")","=hyperlink(""https://www.sarna.net/wiki/Hi-Scout_Drone"", ""Hi-Scout Drone"")",(NapFind),Support Vehicle,CV,6,1,30h,0,1,0,false,0,false,0,false,0,false,0,"DRO, ENE, FC",https://i.ibb.co/hRBZpSr/hi-scout-drone-napfind-3039.png,Advanced,2,3000,Scout,Inner Sphere,0
1531,"=hyperlink(""http://masterunitlist.info/Unit/Details/1531"", ""Hi-Scout Drone (PathTrak)"")","=hyperlink(""https://www.sarna.net/wiki/Hi-Scout_Drone"", ""Hi-Scout Drone"")",(PathTrak),Support Vehicle,CV,4,1,16t,0,1,0,false,0,false,0,false,0,false,0,"DRO, EE, ENE",https://i.ibb.co/Njqn1k4/hi-scout-drone-pathtrak-3039.png,Advanced,3,3000,Scout,Inner Sphere,0
1060,"=hyperlink(""http://masterunitlist.info/Unit/Details/1060"", ""Ferret Light Scout VTOL"")","=hyperlink(""https://www.sarna.net/wiki/Ferret_Light_Scout_VTOL"", ""Ferret Light Scout VTOL"")",,Combat Vehicle,CV,8,1,30v,0,1,0,true,0,false,0,false,0,false,0,"ATMO, EE, IT1, SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,Introductory,5,2904,Scout,Inner Sphere,0
5605,"=hyperlink(""http://masterunitlist.info/Unit/Details/5605"", ""Ferret Light Scout VTOL Fermi"")","=hyperlink(""https://www.sarna.net/wiki/Ferret_Light_Scout_VTOL"", ""Ferret Light Scout VTOL"")","Fermi",Combat Vehicle,CV,8,1,30v,0,1,0,false,0,false,0,false,0,false,0,"ATMO, ECM, ENE, IT1, SRCH, STL",https://i.ibb.co/fQ8fzGB/ferret-3039.png,Experimental,5,3076,Scout,Mixed,0
1058,"=hyperlink(""http://masterunitlist.info/Unit/Details/1058"", ""Ferret Light Scout VTOL (Armor) Wild Weasel"")","=hyperlink(""https://www.sarna.net/wiki/Ferret_Light_Scout_VTOL"", ""Ferret Light Scout VTOL"")",(Armor) "Wild Weasel",Combat Vehicle,CV,11,1,30v,1,1,0,true,0,false,0,false,0,false,0,"ATMO, EE, SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,Introductory,5,2967,Scout,Inner Sphere,0
1059,"=hyperlink(""http://masterunitlist.info/Unit/Details/1059"", ""Ferret Light Scout VTOL (Cargo)"")","=hyperlink(""https://www.sarna.net/wiki/Ferret_Light_Scout_VTOL"", ""Ferret Light Scout VTOL"")",(Cargo),Combat Vehicle,CV,6,1,30v,0,1,0,false,0,false,0,false,0,false,0,"ATMO, CT2.5, EE, ENE, SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,Introductory,5,2972,None,Inner Sphere,0
1165,"=hyperlink(""http://masterunitlist.info/Unit/Details/1165"", ""Gabriel Reconnaissance Hovercraft"")","=hyperlink(""https://www.sarna.net/wiki/Gabriel_Reconnaissance_Hovercraft"", ""Gabriel Reconnaissance Hovercraft"")",,Combat Vehicle,CV,15,1,26h,1,1,1,false,1,false,0,false,0,false,0,"ENE, SRCH, TUR(1/1/-)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,Standard,5,2712,Scout,Inner Sphere,0
1164,"=hyperlink(""http://masterunitlist.info/Unit/Details/1164"", ""Gabriel Reconnaissance Hovercraft (ERSL)"")","=hyperlink(""https://www.sarna.net/wiki/Gabriel_Reconnaissance_Hovercraft"", ""Gabriel Reconnaissance Hovercraft"")",(ERSL),Combat Vehicle,CV,15,1,26h,1,1,1,false,1,false,0,false,0,false,0,"ENE, SRCH, TUR(1/1/-)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,Standard,5,3067,Scout,Inner Sphere,0
1166,"=hyperlink(""http://masterunitlist.info/Unit/Details/1166"", ""Gabriel Reconnaissance Hovercraft (TDF)"")","=hyperlink(""https://www.sarna.net/wiki/Gabriel_Reconnaissance_Hovercraft"", ""Gabriel Reconnaissance Hovercraft"")",(TDF),Combat Vehicle,CV,12,1,26h,1,1,0,true,0,true,0,true,0,false,0,"ENE, SRCH, TUR(0*/0*/0*)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,Standard,5,3065,Scout,Inner Sphere,0
2807,"=hyperlink(""http://masterunitlist.info/Unit/Details/2807"", ""Savannah Master Hovercraft"")","=hyperlink(""https://www.sarna.net/wiki/Savannah_Master_Hovercraft"", ""Savannah Master Hovercraft"")",,Combat Vehicle,CV,15,1,26h,1,1,1,false,1,false,0,false,0,false,0,"ENE, SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,Introductory,5,3025,Scout,Inner Sphere,0
